index,corrected_sentence
91420,සමානකම් තියෙනවා
116436,මෙතන ගැනත් කියන්න ඕන
131221,ලස්සන ගෙයක්
131222,මෙම පක්ෂවලට අවුරුදු හැත්තෑවට වඩා වැඩි ය
131223,මෙම පක්ෂය කතා කළත් වැඩක් නැහැ
131225,මෙම අකුරු ශබ්ද කරන කොට දිව යන තැන් වෙනස්
131226,මෙම භේද බොහෝ විට දිව යන තැන ගැන කල්පනාවෙන් පසුවුවහොත් විසඳා ගන්න පුළුවන්
22056,ඉස්සර හෝඩියෙ අං කියල තිබුණෙ මේ ශබ්දය
33218,එයට හේතුව ඉංගිරිසි අකුරෙන් ලිවීම ය
85969,දහතුන ලියන්නෙ මෙලෙසයි
34550,එවිට දහය ලියන්නේ මෙලෙසයි
41464,එහෙත් ඔවුහු එය නිරපේක්ෂ චලිතයක් නොවන බව ද පසක් කරගෙන සිටියහ
65075,ඔවුන් වඩාත් සැලකිල්ලක් යොමු කර තිබුණේ ඇල්ලේ ගුණවංශ හාමුදුරුවන් හා මහින්ද රාජපක්ෂ ලිපි ගොනු ගැන කරපු කතාවලට
77299,වෙනත් ආකාරයකින්වත් ලියන්නේ නැහැ
104347,බිංදුව සංකේතය විකාශය වෙලා තියෙන්නේ
104857,බුදුන් වහන්සේට පසුව මගට පිළිපන් අඤ්ඤා කොණ්ඩඤ්ඤ මහතෙරුන් වහන්සේ කොණ්ඩඤ්ඤ හෙවත් ඤාණයේ මුදුණේ සිට අඤ්ඤා හෙවත් නොදන්නා තත්ත්වයට පත්වූයේ කෙසෙ දැයි අමරතුංග මහතා සිතා බලා ඇත් ද
104858,අරාබියේ හා චීනයේ විද්‍යාව දියුණු වූයේ යම් දර්ශනයක් මත පදනම් ව බව අමරතුංග මහතා සඳහන් කරයි
129463,රනිල් වික්‍රමසිංහ මහතා සහ මෛත්‍රිපාල සිරිසේන මහතා තව තවත් සංධාන නායකයන් හා සිංහල ජාතිකවාදීන් අත් අඩංගුවට ගෙන මැර බලය යොදා මැතිවරණයක් පැවැත්වීමට ඉඩ ඇත
91521,නාථ දෙවියන් අප බොහෝ දෙනකුට ගෝචර නො වේ
42852,එහෙත් ධර්මයක් ක්ෂණයකටවත් පවතින්නේ ද ක්ෂණයක් යනු කුමක් ද ධර්මයක් යනු කුමක් ද ධර්මයක් ක්ෂණයකට වුවත් පවතින්නේ යැයි ගැනීම ආත්මවාදී ය
22969,ඊනියා යහපාලනය වෙනුවෙන්
2256,අද ජ වි පෙ අරලියගහ මන්දිරයේ කාමරයක සිරවී බටහිර යටත්විජිතවාදී යුදෙවු ක්‍රිස්තියානි සංස්කෘතියේ මාක්ස්වාදී ප්‍රභේදය වෙනුවෙන් පෙනී සිටියි
126646,මොවුන්ට අවශ්‍ය අපේ ස්වෛරීභාවය නැති කිරීමට ය
91846,නැත්නම් අනෙක් පැත්ත උඩුඅතට හැරී තිබිය යුතුයි
69970,ඔහු පිළිබඳ අදාළ පරීක්ෂණයේ ප්‍රතිඵල රැගත් කෝප් වාර්තාව දැන් පාර්ලිමේන්තුවට ඉදිරිපත් කළ නො හැකි ය
103197,බටහිරයන්ට ජාතික රාජ්‍ය සංකල්පය තිබුණට ජාතික රාජ්‍ය නැහැ
94320,පඬියන් මහමොළ කාරයන් යහපාලනයක් ගැන කතා කරන්නේ රටේ නිදහස අමතක කිරීමට මිස වෙනත් කරුණකට නො වේ
94828,පර්යේෂණ ක්‍රම නිරීක්ෂණ මාර්ග ලේඛනගත කිරීම ආදිය ඒ අතර විය
61958,ඔබ ජාතිභේද නැතිව දේශපාලනය කිරීම ගැන කීවත් පොදුජන පෙරමුණේ ඉන්න බොහෝ අය උත්සාහ කරන්නේ සිංහල ජාතිකවාදය වඩ වඩාත් ශක්තිමත් කරමින් බලයට එන්නයි
17692,ආසනික් එකම හේතුව කියලා අපිත් කියන්නෙ නැහැ
4626,අද ශ්‍රී ල නි පක්ෂයේ නිවට නායකත්වය සමග ඇත්තේ දණ්ඩට බිය වූ මන්ත්‍රීන් කිහිප දෙනකු හා චන්ද්‍රිකාගේ පැකේජ් මන්ත්‍රීන් කිහිප දෙනකු පමණ ය
26204,එක් පැත්තකින් අනුර ප්‍රියදර්ශන යාපා ශ්‍රී ල නි පක්ෂයේ ශාඛා සමිතිවලට නිල වශයෙන් මධ්‍යම කාරක සභා තීරණය දන්වා නැත
67967,ඔවුහු ශ්‍රී ල නි පක්ෂයේ ද ශ්‍රී ල නි පක්ෂය නායකත්වය දැරූ සංධානයේ ද ජනාධිපතිවරණ අපේක්ෂකයා වූ මහින්ද රාජපක්ෂට වැඩ කළෝ ද මෛත්‍රිපාල සිරිසේන මහින්ද රාජපක්ෂට විරුද්ධව වෙනත් පක්ෂයකින් ජනාධිපතිවරණයට ඉදිරිපත්වීම ම තදබල වරදකි
79984,ජ වි පෙ නායකයන් වයසට ගියත් ඔවුන්ගේ ළදරු වලිකුලප්පුව සුව වී නැත
109830,මහින්ද රාජපක්ෂ ශ්‍රී ල නි පක්ෂයට ද්‍රෝහි වී නැත
109900,මහින්ද ශ්‍රී ල නි පක්ෂයේ ද එක්සත් ජනතා නිදහස් සංධානයේ ද නායකයා වීම එළඹෙන මැතිවරණයේ දී ශ්‍රී ල නි පක්ෂයට මෙන් ම සංධානයට ද වාසියක් වනු ඇත
110144,මහින්දට ශ්‍රී ල නි පක්ෂයට අවශ්‍ය වනවාට වඩා අද ශ්‍රී ල නි පක්ෂයට මහින්ද අවශ්‍ය වෙයි
117650,මෙරට ඇති දහස් ගණන් ලෙන් වලගම්බා රජුගේ නිර්මාණ නොව යක්ෂ ගෝත්‍රිකයන් බෞද්ධයන් වීමට පෙර සෘෂිවරුන් වෙනුවෙනුත් බෞද්ධයන් වූ පසු භික්ෂූන් වහන්සේලා වෙනුවෙනුත් නිර්මාණය කරන ලද ආරාම යැයි කිව හැකි ය
137344,ශ්‍රී ල නි පක්ෂ පාර්ලිමේන්තු කණ්ඩායමේ මහින්දට වඩා මෛත්‍රිපාලට කැමැත්තක් විය
137345,ශ්‍රී ල නි පක්ෂයේ මහජන නියෝජිතයන්ට මධ්‍යම කාරක සභා තීරණය නිල වශයෙන් දන්වා නොමැති බව අපට පිළිගත හැකි ය
137346,ශ්‍රී ල නි පක්ෂය ද රට ද පක්ෂයේ සාමාජිකයන් නොවන කිහිප දෙනකුගේ හා පක්ෂයට ද්‍රෝහි වූවන් කිහිප දෙනකුගේ ආධිපත්‍යයට ගොදුරු වෙමින් පවතියි
137347,ශ්‍රී ල නි පක්ෂය ධනපති විරෝධී ද නැද්ද යන්න මෙහි දී ප්‍රශ්නයක් නො වේ
137348,ශ්‍රී ල නි පක්ෂයේ නිවට නායකයන් කිහිප දෙනකු නොවන්නට මෛත්‍රිපාල රාජිත ආදීන් පක්ෂයෙන් අස්කළ යුතුව තිබිණි
137349,ශ්‍රී ල නි පක්ෂයේ මෛත්‍රිපාල රාජිත වැනි කැබිනට් ඇමතිකම් දරන්නන්ට ද ආණ්ඩුවේ විපක්ෂ නායක ඇතුළු ශ්‍රී ල නි පක්ෂයේ අනෙක් ඉහළ නායකයන්ට ද ඒ හඬ කන් බිහිරි කරන හඬක් බවට පත් වී ඇත
90521,නගරයේ රැකියා කරන මධ්‍යම පංතික උගතුන් නම් පොරවෙන හැටි දනිති
53344,ඒ බව අපි මේ වෙබ් අඩවියේ පළ වී ඇති ලිපි කිහිපයකින් ම ප්‍රකාශ කළෙමු
20608,ඉදිරි මැතිවරණයේ දී එය එසේ ම සිදු නොවන බව මෛත්‍රිපාල කෙසේ වෙතත් රනිල් දනියි
100185,ඒ සභාවේ දී
